person_relationship_id,person_relationship_sequence,person_id_1,relationship_type,person_id_2,relationship_category,reference_id,relationship_notes
Judah_1:Jacob_1:479,479,Judah_1,son,Jacob_1,logical,GEN 29:35,
Leah_1:Judah_1:480,480,Leah_1,mother,Judah_1,logical,GEN 29:35,
Judah_1:Leah_1:481,481,Judah_1,son,Leah_1,explicit,GEN 29:35,
Reuben_1:Judah_1:482,482,Reuben_1,brother,Judah_1,logical,GEN 29:35,
Simeon_1:Judah_1:483,483,Simeon_1,brother,Judah_1,logical,GEN 29:35,
Levi_1:Judah_1:484,484,Levi_1,brother,Judah_1,logical,GEN 29:35,
Judah_1:Reuben_1:485,485,Judah_1,brother,Reuben_1,logical,GEN 29:35,
Judah_1:Simeon_1:486,486,Judah_1,brother,Simeon_1,logical,GEN 29:35,
Judah_1:Levi_1:487,487,Judah_1,brother,Levi_1,logical,GEN 29:35,
Jacob_1:Bilhah_1:488,488,Jacob_1,husband,Bilhah_1,logical,GEN 30:4,
Bilhah_1:Jacob_1:489,489,Bilhah_1,wife,Jacob_1,explicit,GEN 30:4,
Jacob_1:Dan_1:490,490,Jacob_1,father,Dan_1,explicit,GEN 35:22,
Dan_1:Jacob_1:491,491,Dan_1,son,Jacob_1,logical,GEN 30:6,
Bilhah_1:Dan_1:492,492,Bilhah_1,mother,Dan_1,logical,GEN 30:6,
Dan_1:Bilhah_1:493,493,Dan_1,son,Bilhah_1,explicit,GEN 30:6,
Reuben_1:Dan_1:494,494,Reuben_1,half-brother,Dan_1,logical,GEN 30:6,
Simeon_1:Dan_1:495,495,Simeon_1,half-brother,Dan_1,logical,GEN 30:6,
Levi_1:Dan_1:496,496,Levi_1,half-brother,Dan_1,logical,GEN 30:6,
Judah_1:Dan_1:497,497,Judah_1,half-brother,Dan_1,logical,GEN 30:6,
Dan_1:Reuben_1:498,498,Dan_1,half-brother,Reuben_1,logical,GEN 30:6,
Dan_1:Simeon_1:499,499,Dan_1,half-brother,Simeon_1,logical,GEN 30:6,
Dan_1:Levi_1:500,500,Dan_1,half-brother,Levi_1,logical,GEN 30:6,
Dan_1:Judah_1:501,501,Dan_1,half-brother,Judah_1,logical,GEN 30:6,
Jacob_1:Naphtali_1:502,502,Jacob_1,father,Naphtali_1,explicit,GEN 35:22,
Naphtali_1:Jacob_1:503,503,Naphtali_1,son,Jacob_1,logical,GEN 30:7,
Bilhah_1:Naphtali_1:504,504,Bilhah_1,mother,Naphtali_1,logical,GEN 30:7,
Naphtali_1:Bilhah_1:505,505,Naphtali_1,son,Bilhah_1,explicit,GEN 30:7,
Reuben_1:Naphtali_1:506,506,Reuben_1,half-brother,Naphtali_1,logical,GEN 30:7,
Simeon_1:Naphtali_1:507,507,Simeon_1,half-brother,Naphtali_1,logical,GEN 30:7,
Levi_1:Naphtali_1:508,508,Levi_1,half-brother,Naphtali_1,logical,GEN 30:7,
Judah_1:Naphtali_1:509,509,Judah_1,half-brother,Naphtali_1,logical,GEN 30:7,
Dan_1:Naphtali_1:510,510,Dan_1,brother,Naphtali_1,logical,GEN 30:7,
Naphtali_1:Reuben_1:511,511,Naphtali_1,half-brother,Reuben_1,logical,GEN 30:7,
Naphtali_1:Simeon_1:512,512,Naphtali_1,half-brother,Simeon_1,logical,GEN 30:7,
Naphtali_1:Levi_1:513,513,Naphtali_1,half-brother,Levi_1,logical,GEN 30:7,
Naphtali_1:Judah_1:514,514,Naphtali_1,half-brother,Judah_1,logical,GEN 30:7,
Naphtali_1:Dan_1:515,515,Naphtali_1,brother,Dan_1,logical,GEN 30:7,
Jacob_1:Zilpah_1:516,516,Jacob_1,husband,Zilpah_1,logical,GEN 30:9,
Zilpah_1:Jacob_1:517,517,Zilpah_1,wife,Jacob_1,explicit,GEN 30:9,
Jacob_1:Gad_1:518,518,Jacob_1,father,Gad_1,explicit,GEN 35:22,
Gad_1:Jacob_1:519,519,Gad_1,son,Jacob_1,logical,GEN 30:11,
Zilpah_1:Gad_1:520,520,Zilpah_1,mother,Gad_1,logical,GEN 30:11,
Gad_1:Zilpah_1:521,521,Gad_1,son,Zilpah_1,explicit,GEN 30:11,
Reuben_1:Gad_1:522,522,Reuben_1,half-brother,Gad_1,logical,GEN 30:11,
Simeon_1:Gad_1:523,523,Simeon_1,half-brother,Gad_1,logical,GEN 30:11,
Levi_1:Gad_1:524,524,Levi_1,half-brother,Gad_1,logical,GEN 30:11,
Judah_1:Gad_1:525,525,Judah_1,half-brother,Gad_1,logical,GEN 30:11,
Dan_1:Gad_1:526,526,Dan_1,half-brother,Gad_1,logical,GEN 30:11,
Naphtali_1:Gad_1:527,527,Naphtali_1,half-brother,Gad_1,logical,GEN 30:11,
Gad_1:Reuben_1:528,528,Gad_1,half-brother,Reuben_1,logical,GEN 30:11,
Gad_1:Simeon_1:529,529,Gad_1,half-brother,Simeon_1,logical,GEN 30:11,
Gad_1:Levi_1:530,530,Gad_1,half-brother,Levi_1,logical,GEN 30:11,
Gad_1:Judah_1:531,531,Gad_1,half-brother,Judah_1,logical,GEN 30:11,
Gad_1:Dan_1:532,532,Gad_1,half-brother,Dan_1,logical,GEN 30:11,
Gad_1:Naphtali_1:533,533,Gad_1,half-brother,Naphtali_1,logical,GEN 30:11,
Jacob_1:Asher_1:534,534,Jacob_1,father,Asher_1,explicit,GEN 35:22,
Asher_1:Jacob_1:535,535,Asher_1,son,Jacob_1,logical,GEN 30:13,
Zilpah_1:Asher_1:536,536,Zilpah_1,mother,Asher_1,logical,GEN 30:13,
Asher_1:Zilpah_1:537,537,Asher_1,son,Zilpah_1,explicit,GEN 30:13,
Reuben_1:Asher_1:538,538,Reuben_1,half-brother,Asher_1,logical,GEN 30:13,
Simeon_1:Asher_1:539,539,Simeon_1,half-brother,Asher_1,logical,GEN 30:13,
Levi_1:Asher_1:540,540,Levi_1,half-brother,Asher_1,logical,GEN 30:13,
Judah_1:Asher_1:541,541,Judah_1,half-brother,Asher_1,logical,GEN 30:13,
Dan_1:Asher_1:542,542,Dan_1,half-brother,Asher_1,logical,GEN 30:13,
Naphtali_1:Asher_1:543,543,Naphtali_1,half-brother,Asher_1,logical,GEN 30:13,
Gad_1:Asher_1:544,544,Gad_1,brother,Asher_1,logical,GEN 30:13,
Asher_1:Reuben_1:545,545,Asher_1,half-brother,Reuben_1,logical,GEN 30:13,
Asher_1:Simeon_1:546,546,Asher_1,half-brother,Simeon_1,logical,GEN 30:13,
Asher_1:Levi_1:547,547,Asher_1,half-brother,Levi_1,logical,GEN 30:13,
Asher_1:Judah_1:548,548,Asher_1,half-brother,Judah_1,logical,GEN 30:13,
Asher_1:Dan_1:549,549,Asher_1,half-brother,Dan_1,logical,GEN 30:13,
Asher_1:Naphtali_1:550,550,Asher_1,half-brother,Naphtali_1,logical,GEN 30:13,
Asher_1:Gad_1:551,551,Asher_1,brother,Gad_1,logical,GEN 30:13,
Jacob_1:Issachar_1:552,552,Jacob_1,father,Issachar_1,logical,GEN 35:22,
Issachar_1:Jacob_1:553,553,Issachar_1,son,Jacob_1,explicit,GEN 30:18,
Leah_1:Issachar_1:554,554,Leah_1,mother,Issachar_1,explicit,GEN 30:18,
Issachar_1:Leah_1:555,555,Issachar_1,son,Leah_1,logical,GEN 30:18,
Reuben_1:Issachar_1:556,556,Reuben_1,brother,Issachar_1,logical,GEN 30:18,
Simeon_1:Issachar_1:557,557,Simeon_1,brother,Issachar_1,logical,GEN 30:18,
Levi_1:Issachar_1:558,558,Levi_1,brother,Issachar_1,logical,GEN 30:18,
Judah_1:Issachar_1:559,559,Judah_1,brother,Issachar_1,logical,GEN 30:18,
Dan_1:Issachar_1:560,560,Dan_1,half-brother,Issachar_1,logical,GEN 30:18,
Naphtali_1:Issachar_1:561,561,Naphtali_1,half-brother,Issachar_1,logical,GEN 30:18,
Gad_1:Issachar_1:562,562,Gad_1,half-brother,Issachar_1,logical,GEN 30:18,
Asher_1:Issachar_1:563,563,Asher_1,half-brother,Issachar_1,logical,GEN 30:18,
Issachar_1:Reuben_1:564,564,Issachar_1,brother,Reuben_1,logical,GEN 30:18,
Issachar_1:Simeon_1:565,565,Issachar_1,brother,Simeon_1,logical,GEN 30:18,
Issachar_1:Levi_1:566,566,Issachar_1,brother,Levi_1,logical,GEN 30:18,
Issachar_1:Judah_1:567,567,Issachar_1,brother,Judah_1,logical,GEN 30:18,
Issachar_1:Dan_1:568,568,Issachar_1,half-brother,Dan_1,logical,GEN 30:18,
Issachar_1:Naphtali_1:569,569,Issachar_1,half-brother,Naphtali_1,logical,GEN 30:18,
Issachar_1:Gad_1:570,570,Issachar_1,half-brother,Gad_1,logical,GEN 30:18,
Issachar_1:Asher_1:571,571,Issachar_1,half-brother,Asher_1,logical,GEN 30:18,
Jacob_1:Zebulun_1:572,572,Jacob_1,father,Zebulun_1,logical,GEN 35:22,
Zebulun_1:Jacob_1:573,573,Zebulun_1,son,Jacob_1,explicit,GEN 30:19,
Leah_1:Zebulun_1:574,574,Leah_1,mother,Zebulun_1,explicit,GEN 30:19,
Zebulun_1:Leah_1:575,575,Zebulun_1,son,Leah_1,logical,GEN 30:19,
Reuben_1:Zebulun_1:576,576,Reuben_1,brother,Zebulun_1,logical,GEN 30:19,
Simeon_1:Zebulun_1:577,577,Simeon_1,brother,Zebulun_1,logical,GEN 30:19,
Levi_1:Zebulun_1:578,578,Levi_1,brother,Zebulun_1,logical,GEN 30:19,
Judah_1:Zebulun_1:579,579,Judah_1,brother,Zebulun_1,logical,GEN 30:19,
Dan_1:Zebulun_1:580,580,Dan_1,half-brother,Zebulun_1,logical,GEN 30:19,
Naphtali_1:Zebulun_1:581,581,Naphtali_1,half-brother,Zebulun_1,logical,GEN 30:19,
Gad_1:Zebulun_1:582,582,Gad_1,half-brother,Zebulun_1,logical,GEN 30:19,
Asher_1:Zebulun_1:583,583,Asher_1,half-brother,Zebulun_1,logical,GEN 30:19,
Issachar_1:Zebulun_1:584,584,Issachar_1,brother,Zebulun_1,logical,GEN 30:19,
Zebulun_1:Reuben_1:585,585,Zebulun_1,brother,Reuben_1,logical,GEN 30:19,
Zebulun_1:Simeon_1:586,586,Zebulun_1,brother,Simeon_1,logical,GEN 30:19,
Zebulun_1:Levi_1:587,587,Zebulun_1,brother,Levi_1,logical,GEN 30:19,
